id,name,score,title,place,date,verified purch,text,upvotes,language
1,Yuzo,5,it make happi,the United States ,20180816,True,it distract fact i friend,1972,english
2,Sarah,1,do buy soni product amazon,the United States ,20180907,True,work month beforeth hard drive die appar reason the power suppli work display hard drive failur messag after contact soni amazon soni admit hard drive issu model claim amazon respons replac amazon claim soni respons replac do buy soni product amazon,849,english
3,Junior,1,scaaaam,the United States ,20181030,True,i realiz year later 1tb 500 gbs lool i deserv know sooner,646,english
4,Nobody Important,5,a great consol,the United States ,20180228,True,i realli love new ps4 slim great easi setup ton current gen consol faster ps3 generalton free gamesplayst now pretti decent deal wide selectionton media app like netflix hulu amazon video funim etc control allow chang bright glowton custom option suit consol includ high contrast playstat plus seem offer better deal no composit output mean i get audio pc easi waywhen download mani item menu lagsom app tend glitch close applic option howev easili got i reason get ps4 pro i 4k tv i realli care 4k game game support 4k pro honest i found better deal pro seem lazi cashgrab it definit slim fit pretti much keyboard space multipl desk like pretti much ideal consol opinion,364,english
5,Yinong,5,slim fine,the United States ,20170823,True,if 4k tv need ps4 fine,685,english
6,Shariece,5,so much faster origin playstat 4,the United States ,20171128,True,i origin ps4 system sinc came long run space 500gb hard drive i decid buy newer updat version ps4 slim awesom there notic perform slim origin the network connect slim twice good game load much faster download time much quicker import i twice much hd space game i even play lot game still somehow ran if notic declin perform origin ps4 definit invest new plus add 4 year warranti,351,english
7,Lost Pathfinder,5,excel,the United States ,20180918,True,so this easi process up softwar updat noth to do with the seller in short pleas place hour asid softwar updat each game buy game updat each app instal amazon netflix etc need updat veri easi use put time asid u kid dont tell updat pack great item includ no issu far less 24 hrs work fine,150,english
8,J S.,5,amazon provid excel product excel protect ship,the United States ,20171213,True,amazon provid excel product excel protect ship excel product ps 4 i previous playstat game machin warn ps 4 buyer soni never implement abil play u r ps 2 ps 3 game ps4 4 literatur box say backward compat lie one backward compat previous game not soni ps4 excel product 1 storag also use less electr 500gb storag packag great receiv complaint no complaint ps 4 either far i love but hate no ps 4 backward compat even playstat plus requir play view onlin buyer want get ps 4 ground floor buy game abil play standalon get start,210,english
9,Lyn Torres,1,wrong item receiv,the United States ,20181217,True,veri disappoint i receiv 500gb ps4 instead 1tb i serial number bit shadi start mg instead normal mc say amazon choic item i bought confid will return never buy consol amazon,87,english
10,chefhoeyardee,1,stop work first few minut,the United States ,20190222,True,serious do not buy this i look forward week even got game headset i come home hook work fine i go set account i put card info playstat plus shut i tri plug differ outlet still work i press power button noth when come longer minut i hear slight statici sound i move power cord around sometim even shut static screen tv shut this simpl overh problem defect consol i assum seller receiv faulti consol unhappi consum return resel cheap instead actual fix ridicul now i wait week get money back i might tri get differ consol bet i stay farrrr away amazon thank wast time,68,english
11,Erik,2,good game,the United States ,20190107,True,i like ps alway fan game great matter opinion i give system 2 star base system experi i guess goe without say great i replac first ps infam issu i tri everyth kept happen my second ps slim edit so far good broken compar system i ever mayb besid nes freez sometim goe extrem slow menus point almost walk away oper it also froze time without power button abl shut unplug i assum caus corrupt data caus reset liter person i know ps close cousin mine replac 2 system alreadi we rant aw experi ps4 one occas bought 5 system two peopl two peopl i say anybodi buy one like work i sure i still feel need put 2 cent,47,english
12,Michael Vivirito,1,unwil work custom,the United States ,20181031,True,they sold playstat faulti disk drive want go hassl return consol i alreadi game download account setup give kind refund,57,english
13,Megan Morrow,1,defect product,the United States ,20180815,True,the ps4 defect everyth seem work proper i download game i could open everi time i tri i got error code,60,english
14,Jonathan,3,meh,the United States ,20181224,True,i want discov excit game game consol honest e never done sort thing skip read book go walk beat type entertain easili i see child might captiv fulli function spent 200 varieti differ type game see one right just figur control work game deterr in event get hang game bit time consum at best mind becom immers game environ long notic hour pass the entertain valu gain hour invest mediocr best go movi cheaper stick i got thing i continu use explor game if i i would stay nice hotel weekend money i spent devic bit happier,40,english
15,Amazon Customer,4,not recommend for youtub hardcor gamer,the United States ,20180410,True,while system work awesom main issu i system everi time consol updat it issu come back sure softwar issu set ps4 plus consol get realli hot 5hrs play i youtub gamer i play lot throughout work week i like gamer requir continu play let play livestream i strong recommend pay extra green get pro model fine casual gamer machin tend mani bug send mine playstat twice get consol back reliabl hardcor gamer,45,english
