username,datetime,tweet_text,retweeted_text,likes,retweets,comments
Play Station V Paradise,2020-11-28T23:42:10.000Z," A whole new vibe, They don’t understand, now look what we’ve done #playstation5 #playstation5skins #playstation5games #playstation5controller #playstation #playstation5news #play #playstation5reveal #ps5pro #ps #ps5reveal #ps5games...",,0,0,0
Photomode of Tsushima,2020-11-28T23:39:08.000Z,My girlfriend's first foray into photomode! Game: #HorizonZeroDawn Dev: @Guerrilla #photomode #Gametography #VGPUnite #virtualphotography #gaming #playstation #ps4 #TheCapturedCollective #gamergram #ThePhotoMode #shareoftheweek #vpcontext #hzd #HorizonForbiddenWest,,38,3,2
Photomode of Tsushima,2020-11-28T23:37:28.000Z,One day I'll beat this with the curse lol Game: #GhostofTsushima Dev: @SuckerPunchProd #photomode #Gametography #VGPUnite #virtualphotography #gaming #playstation #ps4 #TheCapturedCollective #gamergram #ThePhotoMode #shareoftheweek #goty #vpcontext #ngplus #frailty #cursed,,16,3,0
Brittany Stanley,2020-11-28T23:33:47.000Z,I just went to Walmart and picked up my @playstation5. I was able to get one Wednesday night. My @Walmart app stated it was preparing my order. I still went and got it. They are are the stores!! @PlayStation #walmart #playstation #playstation5 #secondwalmartscore,,3,0,5
Play Station V Paradise,2020-11-28T23:30:11.000Z, Ask and it shall be given unto ye Playstation Drip #playstation5 #playstation5skins #playstation5games #playstation5controller #playstation #playstation5news #play #playstation5reveal #ps5pro #ps #ps5reveal #ps5games...,,1,0,0
Play Station V Paradise,2020-11-28T23:26:15.000Z," massiveness #playstation5 #playstation5skins #playstation5games #playstation5controller #playstation #playstation5news #play #playstation5reveal #ps5pro #ps #ps5reveal #ps5games #ps5giveaway #ps5controller (at Arab road, Kubwa,...",,1,1,0
Mr Pinnington,2020-11-28T23:26:13.000Z,I am dead! “there is nothing wrong with being thrifty dear” #PlayStation5 #PlayStation #PlayStation5restock #psn @PlayStation @Sony,,0,1,0
𓄂 ʟᴀ ꜱᴘʜɪɴx 𓆃,2020-11-28T23:22:39.000Z,Mistress of the pond. #VirtualPhotography #PhotoMode #ThePhotoMode #PlayStation #PS4 #AssassinsCreed #AssassinsCreedValhalla #eivor #Ubisoft #TheCapturedCollective #VGPUnite #societyofvirtualphotographers #artistofsociety #vpgamers,,21,3,0
Angelina,2020-11-28T23:10:42.000Z,Dress for the Christmas Miracle you want! We tried! My attire didn’t work. But these girls can dream right!?! #PlayStation5 #FuckBots #Playstation #JeffreeStarApproved #JeffreeStar,,1,1,0
Pedro Carvalho,2020-11-28T23:07:03.000Z,Doesn anyone no the for not being able to play PS4 demos on the PS5? #PlayStation5 #PlayStation #PS5,,0,1,0
Name,2020-11-28T23:05:03.000Z,Ladies and Gentlemen.... we got’em! • • #playstation5 #ps5 #sony #PlayStation5 #ps5secured #playstation,,2,1,1
Mo Sung,2020-11-28T23:00:24.000Z,"Cutting the power helped, hopefully that was the last of many glitches. Awesome game, but the port seems to be very faulty. @AskPlayStation @PlayStationDE @PlayStation #SpiderManPS5 #ps5 #PlayStation #PlayStation5",,1,1,0
Goffings,2020-11-28T22:55:22.000Z,What happened from back when the consoles launch till now? Well the #ps5 has an GPU issue seams to be only a little of people who has that issue. #Xbox and #PlayStation have a issue with the disc drive making banging noise. So we can say a lot happened in the past weeks.,,1,1,0
Mmmkaylaah Only Fans Top 6%,2020-11-28T22:48:11.000Z,"Bro you Don't need a PS5, you need some PuS5Y"" #ps5 #xbox #playstation #cybermonday",,11,6,2
Meppsic,2020-11-28T22:44:44.000Z,PS4 USERS: Would you like to use the Dualsense controller with all it’s features on your PS4? RETWEET! #PlayStation5 #Playstation #PS4,,0,1,0
Play Station V Paradise,2020-11-28T22:44:17.000Z," All over the place. The New Life. Do you feel it #ps5pro #ps5reveal #ps5games #ps5giveaway #ps5giveaway #playstation5 #playstation5skins #playstation5controller #playstation5reveal #playstation #playstation5news (at Arab road, Kubwa,...",,1,1,0
L.I.V is a Relater ! ,2020-11-28T22:33:27.000Z,‘When your lost in the darkness...’ I hope you enjoy my favourite photo I’ve created since replaying the game. #thelastofuspartii @Naughty_Dog @Neil_Druckmann @TroyBakerVA @TheVulcanSalute @PlayStation #thelastofus #thelastofusphotomode #photomode #ps4 #playstation #tlou #TLOU2,,0,0,0
G.I. Deon,2020-11-28T22:33:22.000Z,Finally beat this beast. Highly recommended! Demon’s Souls on #PS5 #PlayStation5 #PS5Launch #ps5games #PlayStation #DemonsSouls #DemonsSoulsPS5 #FromSoftware #GamersUnite,,3,0,2
That Weird Guy That Likes Ducks,2020-11-28T22:29:52.000Z,"Was only $10 at Best Buy, so I finally upgraded from my PS3 copy. #Ghostbusters #GhostbustersTheVideoGame #GhostbustersTheVideoGameRemastered #VideoGames #Gaming #PlayStation #PlayStation4 #PS4",,0,0,0
Ryton Retro,2020-11-28T22:25:52.000Z,"Rather than stress over getting a PS5, why don't parents just buy their kids a retro console? Take it way back & start with a NES or a Master System and take it from there each year. Throw a Gameboy in the mix if they've been really good? #nintendo #sega #playstation",,10,2,2
Nobleshadow99,2020-11-28T22:20:55.000Z,JUST when you think the #lastofus2 Can’t shock you more... Boom POW right in the ass Need to keep playing #gamer #gaming #ps5 #PlayStation @Naughty_Dog,,1,0,0
MollyThePlug,2020-11-28T22:17:59.000Z,#ps5 #psnrestock #playstation #nextgen #ps5resell #quicksale #targetps5 #gaming #ps5forsale #ps5preorder #ps5launch #gamer #gaming #playstationdirect #playstation5 #spiderman #Milesmorales Contact me now (667) 284-9648,,1,0,0
Shack,2020-11-28T22:11:20.000Z,And there we go....first #PS5 Platinum :) I do love this game fair play. Finished it twice now...now to move on #spiderman #milesmorales #spidermanmilesmorales #playstation5 #playstation #gaming #gamer @insomniacgames @PlayStation,,1,0,0
Observatório de Games,2020-11-28T22:07:53.000Z,Crossover? #Xbox #Sony #joystick #microsoft #pilhas #meme #XboxOne #PS5 #PlayStation #PlayStation4 #PS4,,0,1,0
AstraVex,2020-11-28T22:05:09.000Z,"Being able to start a #PS5 game up from the #PlayStation App on my phone, booting up the console from Rest Mode and going STRAIGHT into a game, with no loading, no menus, etc, is insanely brilliant!!!! EIGHT SECONDS to get into Rocket League! What is happening?! :D",,1,0,0
Stinky_Pole,2020-11-28T22:04:43.000Z,Slowly getting the hang of the lighting tools/photomode . Game: Spider-Man Miles Morales Developer: @insomniacgames @Playstationau @Playstation . #SpidermanMileMorales #SpidermanPS5 #MilesMorales #Playstation #PlaystationAU #PS5 #Photomode #Insominacgames #Gamergram,,4,1,0
Flying Eze,2020-11-28T22:00:03.000Z,"The Dark Crystal: Age of Resistance Tactics Launches February 4, 2020 #Ps4 #En #Masse #Entertainment #Playstation #Games #Ps4 #The #Dark #Crystal: #Age #Of #Resistance #Tactics",,0,1,0
Grigor Khachatryan,2020-11-28T21:57:17.000Z,"#PS5 craze: Videos show Black Friday crowds, shoppers tumbling to ground while running to #GameStop to snag #Playstation 5 - WPVI-TV",,0,1,0
 Tara Barker ,2020-11-28T21:56:42.000Z,Amazing @EmmaLarkster @letmerideaway #PS5 #Playstation #PlayStation5 ,,0,0,0
Rhys Hobson,2020-11-28T21:38:35.000Z,Anyone know how to fix this? #ps4 #gaming #playstation #help,,0,0,0
Gamesharkz ,2020-11-28T21:35:42.000Z,This return by @ab was clean #madden21 #madden #maddenmobile #eamadden #maddenclips #Mut #touchdown #videogames #xbox #playstation #xboxseriesx #ps5 #playstation5,,3,2,0
Daskillva_Games,2020-11-28T21:28:36.000Z,When your playing with someone who's bad at call outs #gaming #callofduty #warzone #Microsoft #xbox #sony #funny #playstation #ps5 #xboxseriesx,,1,0,0
Grace Parkes ,2020-11-28T21:25:41.000Z,"Ok, to my gamer friends. What can you recommend for PS4 to play? I am facing The Last of Us 2 blues. I’ve just started Uncharted 4... will anything ever be the same? #PlayStation #TheLastOfUs2",,5,0,7
